"id_che300","id_autohome","match_type_ah","is_only_ah"
"639",17011,1,1
"640",15117,1,1
"641",13980,1,1
"642",13981,1,1
"643",13982,1,1
"644",13847,1,1
"645",13983,1,1
"646",11937,1,1
"647",11794,1,1
"648",11938,1,1
"649",11939,1,1
"650",11940,1,1
"651",11941,1,1
"652",11942,1,1
"653",11943,1,1
"654",9300,1,1
"655",9299,1,1
"656",9298,1,1
"657",9297,1,1
"658",9296,1,1
"659",9294,1,1
"660",9137,1,1
"661",9295,1,1
"662",6381,1,1
"663",6382,1,1
"664",6383,1,1
"665",6384,1,1
"666",6385,2,1
"667",6386,1,1
"668",6387,1,1
"669",6388,1,1
"670",NA,NA,NA
"671",3738,2,1
"672",NA,NA,NA
"673",NA,NA,NA
"674",4284,1,1
"675",NA,NA,NA
"676",NA,NA,NA
"677",3169,1,1
"678",3170,1,1
"679",NA,NA,NA
"680",3171,1,1
"681",3172,1,1
"682",NA,NA,NA
"683",3173,1,1
"684",NA,NA,NA
"685",3174,1,1
"686",NA,NA,NA
"689",1997,1,1
"691",1998,1,1
"692",NA,NA,NA
"694",1991,1,1
"696",1992,1,1
"697",1467,1,1
"698",1468,1,1
"699",1469,1,1
"701",1470,1,1
"702",1471,1,1
"703",NA,NA,NA
"704",1472,1,1
"705",593,1,1
"706",NA,NA,NA
"707",NA,NA,NA
"708",NA,NA,NA
"709",NA,NA,NA
"712",16363,1,1
"713",16007,1,1
"714",16008,1,1
"715",15719,1,1
"716",11931,1,1
"717",11932,1,1
"718",NA,NA,NA
"719",NA,NA,NA
"720",11883,1,1
"721",11933,1,1
"722",11934,1,1
"723",11935,1,1
"724",11936,1,1
"725",NA,NA,NA
"726",NA,NA,NA
"727",NA,NA,NA
"728",NA,NA,NA
"729",NA,NA,NA
"730",8418,1,1
"731",9660,1,1
"732",9661,1,1
"733",9662,1,1
"734",9663,1,1
"735",9203,1,1
"736",NA,NA,NA
"737",4006,1,1
"738",4007,1,1
"739",4008,1,1
"740",4009,1,1
"741",4010,1,1
"742",NA,NA,NA
"743",NA,NA,NA
"744",NA,NA,NA
"745",NA,NA,NA
"746",1136,1,1
"747",1146,1,1
"748",1147,1,1
"749",1656,1,1
"750",1145,1,1
"751",1103,1,1
"752",NA,NA,NA
"753",NA,NA,NA
"754",12508,1,1
"755",12464,1,1
"756",NA,NA,NA
"757",NA,NA,NA
"758",15379,1,1
"759",15377,1,1
"760",13481,1,1
"761",13444,1,1
"762",13482,1,1
"763",13483,1,1
"764",13484,1,1
"765",13485,1,1
"766",10665,1,1
"767",10666,1,1
"768",10667,1,1
"769",5911,1,1
"770",5910,1,1
"771",5405,1,1
"772",3681,1,1
"773",3682,1,1
"774",3683,1,1
"775",3684,1,1
"776",1994,1,1
"777",1995,1,1
"778",1993,1,1
"779",NA,NA,NA
"780",NA,NA,NA
"781",3255,1,1
"782",3256,1,1
"783",3257,1,1
"784",3258,1,1
"785",3230,1,1
"786",9610,1,1
"787",NA,NA,NA
"788",NA,NA,NA
"789",NA,NA,NA
"796",14352,1,1
"797",NA,NA,NA
"798",NA,NA,NA
"804",NA,NA,NA
"805",NA,NA,NA
"806",NA,NA,NA
"808",NA,NA,NA
"811",14869,1,1
"812",14958,1,1
"813",14957,1,1
"814",14959,1,1
"815",5695,1,1
"816",8272,1,1
"817",8271,1,1
"818",8273,1,1
"819",3786,1,1
"820",3817,1,1
"821",3818,1,1
"822",3819,1,1
"823",3820,1,1
"824",3821,1,1
"825",6866,1,1
"826",3822,1,1
"827",6867,1,1
"828",NA,NA,NA
"829",NA,NA,NA
"830",NA,NA,NA
"831",1480,1,1
"832",NA,NA,NA
"833",1482,1,1
"834",1481,2,1
"835",NA,NA,NA
"836",1481,2,0
"837",NA,NA,NA
"838",1963,1,1
"839",NA,NA,NA
"840",1959,1,1
"841",1724,1,1
"842",1483,1,1
"843",1961,1,1
"844",995,1,1
"845",311,1,1
"846",NA,NA,NA
"847",283,1,1
"848",NA,NA,NA
"849",NA,NA,NA
"850",NA,NA,NA
"851",NA,NA,NA
"852",NA,NA,NA
"853",NA,NA,NA
"854",NA,NA,NA
"855",NA,NA,NA
"856",17129,1,1
"857",17131,1,1
"858",17130,1,1
"859",17127,1,1
"860",17126,1,1
"861",16993,1,1
"862",17128,1,1
"863",17031,1,1
"864",14867,1,1
"865",NA,NA,NA
"866",NA,NA,NA
"867",14188,1,1
"868",14189,1,1
"869",NA,NA,NA
"870",NA,NA,NA
"871",11912,1,1
"872",11916,1,1
"873",11917,1,1
"874",9739,1,1
"875",NA,NA,NA
"876",9061,1,1
"877",9271,1,1
"878",9270,1,1
"879",9269,1,1
"881",7430,1,1
"882",7432,1,1
"885",7433,1,1
"886",7428,1,1
"888",4718,1,1
"889",7434,1,1
"891",7435,1,1
"893",5967,2,1
"894",4717,1,1
"895",4571,1,1
"896",4572,1,1
"897",5967,2,0
"898",4965,1,1
"899",4573,1,1
"900",2275,1,1
"901",2276,1,1
"902",1477,1,1
"903",1478,1,1
"904",322,2,1
"905",NA,NA,NA
"906",NA,NA,NA
"908",NA,NA,NA
"909",NA,NA,NA
"910",NA,NA,NA
"912",NA,NA,NA
"913",NA,NA,NA
"914",NA,NA,NA
"917",13965,1,1
"918",13966,1,1
"919",13967,1,1
"920",13968,1,1
"921",13970,1,1
"922",13971,1,1
"923",13969,1,1
"924",12445,1,1
"925",11858,1,1
"926",12446,1,1
"927",11859,1,1
"928",11861,1,1
"929",11862,1,1
"930",11860,1,1
"931",10193,1,1
"932",10192,1,1
"933",7992,1,1
"934",7993,1,1
